shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
08a9af01-c62c-46ef-bde8-ffdeaab9d8b1,52.3969400,5.7355600,7,2288.4383045
08b7548d-327b-4d86-afab-32aafaf3b8fe,53.0272900,5.7314500,1,0.0000000
08b7548d-327b-4d86-afab-32aafaf3b8fe,53.0272900,5.7314500,2,0.0000000
08b7548d-327b-4d86-afab-32aafaf3b8fe,53.0268800,5.7330900,3,119.1210611
08b7548d-327b-4d86-afab-32aafaf3b8fe,53.0268800,5.7330900,4,119.1210611
08ea2104-898a-4255-9bff-4d1710affed3,52.3316300,5.0704400,1,0.0000000
08ea2104-898a-4255-9bff-4d1710affed3,52.3363400,5.0691600,2,531.3123219
08ea2104-898a-4255-9bff-4d1710affed3,52.3638900,5.0686900,3,3597.0781848
08ea2104-898a-4255-9bff-4d1710affed3,52.3638900,5.0686900,4,3597.0781848
08ea2104-898a-4255-9bff-4d1710affed3,52.3638900,5.0686900,5,3597.0781848
09092fe3-e2d6-448e-b66b-033a5081dc5c,51.5304700,3.5192500,1,0.0000000
09092fe3-e2d6-448e-b66b-033a5081dc5c,51.5304700,3.5192500,2,0.0000000
09092fe3-e2d6-448e-b66b-033a5081dc5c,51.5303900,3.5190600,3,15.9079801
09092fe3-e2d6-448e-b66b-033a5081dc5c,51.5303900,3.5190600,4,15.9086741
0963fec8-95bb-48ac-b8bf-1535fdada9c2,53.0268800,5.7330900,1,0.0000000
0963fec8-95bb-48ac-b8bf-1535fdada9c2,53.0272900,5.7314500,2,119.1204413
0963fec8-95bb-48ac-b8bf-1535fdada9c2,53.0272900,5.7314500,3,119.1204413
09e2a8fe-4987-4bb1-ad3f-023d67d1a0c0,51.0417400,5.7647800,1,0.0000000
09e2a8fe-4987-4bb1-ad3f-023d67d1a0c0,51.0417400,5.7647800,2,0.0000000
09e2a8fe-4987-4bb1-ad3f-023d67d1a0c0,51.0413900,5.7658300,3,83.3018705
09e2a8fe-4987-4bb1-ad3f-023d67d1a0c0,51.0413900,5.7658300,4,83.3025719
0a4ef836-762f-4889-a476-6fde84be9195,51.8029400,4.7719900,1,0.0000000
0a4ef836-762f-4889-a476-6fde84be9195,51.8029400,4.7719900,2,0.0000000
0a4ef836-762f-4889-a476-6fde84be9195,51.8029400,4.7719900,3,0.0000000
0a4ef836-762f-4889-a476-6fde84be9195,51.8034000,4.7706800,4,103.8501679
0a4ef836-762f-4889-a476-6fde84be9195,51.8031600,4.7686200,5,248.4335064
0a4ef836-762f-4889-a476-6fde84be9195,51.8032000,4.7673800,6,334.0829272
0a4ef836-762f-4889-a476-6fde84be9195,51.8037300,4.7661400,7,437.9739814
0a4ef836-762f-4889-a476-6fde84be9195,51.8051100,4.7644800,8,629.5107532
0a4ef836-762f-4889-a476-6fde84be9195,51.8065200,4.7631900,9,809.8683878
0a4ef836-762f-4889-a476-6fde84be9195,51.8069400,4.7633300,10,857.5863732
0a4ef836-762f-4889-a476-6fde84be9195,51.8069400,4.7633300,11,857.5870629
0a544e17-827d-43bb-bef2-35756ce236f5,52.0005100,5.0889100,1,0.0000000
0a544e17-827d-43bb-bef2-35756ce236f5,52.0005100,5.0889100,2,0.0000000
0a544e17-827d-43bb-bef2-35756ce236f5,52.0017700,5.0880200,3,152.9413386
0a544e17-827d-43bb-bef2-35756ce236f5,52.0017700,5.0880200,4,152.9413386
0ab2c617-906e-4f82-8f78-e11933eef2d4,51.9004400,5.6049600,1,0.0000000
0ab2c617-906e-4f82-8f78-e11933eef2d4,51.9004400,5.6049600,2,0.0000000
0ab2c617-906e-4f82-8f78-e11933eef2d4,51.9004400,5.6049600,3,0.0000000
0ab2c617-906e-4f82-8f78-e11933eef2d4,51.8991100,5.6045300,4,150.9138533
0ab2c617-906e-4f82-8f78-e11933eef2d4,51.8977800,5.6030600,5,330.1828448
0ab2c617-906e-4f82-8f78-e11933eef2d4,51.8977800,5.6030600,6,330.1835331
0ac33d3b-9229-45fe-a63f-a3ae2a3d6cca,52.3295300,4.8214300,1,0.0000000
0ac33d3b-9229-45fe-a63f-a3ae2a3d6cca,52.3344800,4.8146900,2,717.2770473
0ac33d3b-9229-45fe-a63f-a3ae2a3d6cca,52.3344800,4.8146900,3,717.2770473
0b36fb24-2b9e-42c0-b479-1b8ac8372aea,52.1954400,5.0069100,1,0.0000000
0b36fb24-2b9e-42c0-b479-1b8ac8372aea,52.1743800,5.0029600,2,2358.8857958
0b36fb24-2b9e-42c0-b479-1b8ac8372aea,52.1518000,5.0352300,3,5703.8272702
0b36fb24-2b9e-42c0-b479-1b8ac8372aea,52.1426700,5.0324500,4,6737.3933785
0b36fb24-2b9e-42c0-b479-1b8ac8372aea,52.1266300,5.0713600,5,9944.1920350
0b36fb24-2b9e-42c0-b479-1b8ac8372aea,52.1266300,5.0713600,6,9944.1927199
0b6d10b3-9da4-434e-88e1-0feffd3315bd,52.3222900,6.5280400,1,0.0000000
0b6d10b3-9da4-434e-88e1-0feffd3315bd,52.3224200,6.5283500,2,25.6129196
0b6d10b3-9da4-434e-88e1-0feffd3315bd,52.3224200,6.5283500,3,25.6129196
0b7b5f22-d2eb-485e-be97-89b78f89d9c6,52.0017700,5.0880200,1,0.0000000
0b7b5f22-d2eb-485e-be97-89b78f89d9c6,52.0005100,5.0889100,2,152.9416131
0b7b5f22-d2eb-485e-be97-89b78f89d9c6,52.0005100,5.0889100,3,152.9422998
0ba682b9-bf9f-4331-a53a-8ca24b8dbd5d,51.9371700,5.9629600,1,0.0000000
0ba682b9-bf9f-4331-a53a-8ca24b8dbd5d,51.9371700,5.9629600,2,0.0000000
0ba682b9-bf9f-4331-a53a-8ca24b8dbd5d,51.9369400,5.9608300,3,148.7078101
0ba682b9-bf9f-4331-a53a-8ca24b8dbd5d,51.9369400,5.9608300,4,148.7078101
0bd28232-7333-4612-8a46-7b4693b8da4f,52.1556800,4.9411900,1,0.0000000
0bd28232-7333-4612-8a46-7b4693b8da4f,52.1557700,4.9411200,2,11.1012685
0bd28232-7333-4612-8a46-7b4693b8da4f,52.1557700,4.9411200,3,11.1012685
0c0e7d88-a4c3-4c99-b97b-c0f821e7637b,52.8866300,5.3568800,1,0.0000000
0c0e7d88-a4c3-4c99-b97b-c0f821e7637b,52.8848800,5.3386700,2,1241.1673150
0c0e7d88-a4c3-4c99-b97b-c0f821e7637b,52.7038500,5.3208200,3,21422.5706490
0c0e7d88-a4c3-4c99-b97b-c0f821e7637b,52.6993900,5.2903300,4,23542.5826033
0c0e7d88-a4c3-4c99-b97b-c0f821e7637b,52.6993900,5.2903300,5,23542.5826033
0c0e7d88-a4c3-4c99-b97b-c0f821e7637b,52.6993900,5.2903300,6,23542.5826033
0c4b7c76-5926-4692-97a0-ce969525c4c8,51.9641300,5.2812900,1,0.0000000
0c4b7c76-5926-4692-97a0-ce969525c4c8,51.9641300,5.2812900,2,0.0000000
0c4b7c76-5926-4692-97a0-ce969525c4c8,51.9627800,5.2808300,3,153.5015112
0c4b7c76-5926-4692-97a0-ce969525c4c8,51.9627800,5.2808300,4,153.5021986
0c5024f3-78bd-4248-aac4-00a962543083,53.4340800,5.7750300,1,0.0000000
0c5024f3-78bd-4248-aac4-00a962543083,53.4340800,5.7750300,2,0.0000000
0c5024f3-78bd-4248-aac4-00a962543083,53.3952800,5.8786100,3,8129.0404641
0c5024f3-78bd-4248-aac4-00a962543083,53.3952800,5.8786100,4,8129.0411293
0c86c282-e859-4e5e-b7d6-66fdf3b579c0,51.7538900,4.3177800,1,0.0000000
0c86c282-e859-4e5e-b7d6-66fdf3b579c0,51.7437400,4.3225000,2,1175.4190936
0c86c282-e859-4e5e-b7d6-66fdf3b579c0,51.7437400,4.3225000,3,1175.4190936
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.1597800,5.3842100,1,0.0000000
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.1653000,5.3750600,2,877.0919960
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.1705600,5.3640700,3,1829.9696571
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.1781400,5.3417600,4,3573.7604845
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.1831900,5.3342100,5,4336.9447329
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.1823500,5.3297400,6,4656.6515729
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.1831900,5.3249400,7,4998.0073946
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.1895100,5.3232200,8,5711.0104093
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.1935100,5.3105200,9,6686.9018226
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2027600,5.3132600,10,7733.0710761
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2181100,5.3060500,11,9510.7691395
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2225300,5.3132600,12,10206.9543157
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2267500,5.3118900,13,10685.7618123
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2305200,5.3077700,14,11190.9579470
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2336900,5.3118900,15,11642.2392548
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2414600,5.3115500,16,12507.1335607
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2486000,5.3122300,17,13302.9721242
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2517600,5.3149800,18,13701.6061257
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2544900,5.3276800,19,14620.5497837
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2578500,5.3263100,20,15005.9508918
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2626800,5.3225300,21,15602.1557081
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2668900,5.3266500,22,16148.5719108
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2837000,5.3359200,23,18123.1834770
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2594600,5.3820800,24,22270.9134698
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2594600,5.3820800,25,22270.9134698
0cd788d0-7a0f-43c5-acc8-2604064e2c29,52.2594600,5.3820800,26,22270.9134698
0cdf82a5-51e1-4dd5-9187-cb54c02fa6f5,51.9606800,4.9666400,1,0.0000000
0cdf82a5-51e1-4dd5-9187-cb54c02fa6f5,51.9580600,4.9655600,2,300.8225109
0cdf82a5-51e1-4dd5-9187-cb54c02fa6f5,51.9580600,4.9655600,3,300.8231983
0cf6013e-d9c7-4d16-aed4-b45694dcaba7,51.8831400,6.0055700,1,0.0000000
0cf6013e-d9c7-4d16-aed4-b45694dcaba7,51.8831400,6.0055700,2,0.0000000
0cf6013e-d9c7-4d16-aed4-b45694dcaba7,51.8798800,6.0049100,3,365.5602577
0cf6013e-d9c7-4d16-aed4-b45694dcaba7,51.8798800,6.0049100,4,365.5602577
0d16cd80-914b-4921-81ae-f33236ec3561,52.6403400,6.0735300,1,0.0000000
0d16cd80-914b-4921-81ae-f33236ec3561,52.6399300,6.0744200,2,75.5743117
0d16cd80-914b-4921-81ae-f33236ec3561,52.6399300,6.0744200,3,75.5749887
0d6d7499-7df8-4145-bb80-5d4782a544ad,52.9770200,5.4970200,1,0.0000000
0d6d7499-7df8-4145-bb80-5d4782a544ad,52.9776000,5.4951900,2,138.8410727
0d6d7499-7df8-4145-bb80-5d4782a544ad,52.9776000,5.4951900,3,138.8410727
0d93bc15-8ca9-4b37-b5cf-6a1e38ba298d,52.1809900,4.4350900,1,0.0000000
0d93bc15-8ca9-4b37-b5cf-6a1e38ba298d,52.1808300,4.4347200,2,30.9429913
0d93bc15-8ca9-4b37-b5cf-6a1e38ba298d,52.1808300,4.4347200,3,30.9436753
0e8eb842-42ab-4242-9704-079fc8bead6b,53.1003700,5.8506500,1,0.0000000
0e8eb842-42ab-4242-9704-079fc8bead6b,53.1003700,5.8506500,2,0.0000000
0e8eb842-42ab-4242-9704-079fc8bead6b,53.1007300,5.8493400,3,96.4590157
0e8eb842-42ab-4242-9704-079fc8bead6b,53.1007300,5.8493400,4,96.4590157
0ec235b9-a292-4ecc-8c53-eeaf8f3bcd1b,52.3391900,4.8184400,1,0.0000000
0ec235b9-a292-4ecc-8c53-eeaf8f3bcd1b,52.3391900,4.8184400,2,0.0000000
0ec235b9-a292-4ecc-8c53-eeaf8f3bcd1b,52.3392600,4.8184300,3,7.8189285
